,prod_url,prod_name,original_price,discounted_price
0,/tom-tailor-Grey-Melange-Printed-Round-Neck-T-Shirt-2776091.html?pos=1&cid=TO327MA08YQTINDFAS,Grey Melange Printed Round Neck T-Shirt,1099,594
1,/tinted-Blue-Solid-V-Neck-T-Shirt-2816000.html?pos=2&cid=TI677MA99FRSINDFAS,Blue Solid V Neck T-Shirt,575,489
2,/tinted-Grey-Solid-V-Neck-T-Shirt-1981422.html?pos=3&cid=TI677MA77TCOINDFAS,Grey Solid V Neck T-Shirt,575,489
3,/next-Ecru-Slub-Grandad-1770014.html?pos=4&cid=NE988MA85SJMINDFAS,Ecru Slub Grandad,1990,1393
4,/Puma-Speed-Font-Navy-Blue-Polo-T-Shirt-2706208.html?pos=5&cid=PU102MA91ZGYINDFAS,Speed Font Navy Blue Polo T-Shirt,1999,1300
5,/Calvin-Klein-Jeans-Olive-Printed-Round-Neck-T-Shirt-2794554.html?pos=6&cid=CA237MA45ZYWINDFAS,Olive Printed Round Neck T-Shirt,3999,3000
6,/Calvin-Klein-Jeans-Blue-Printed-Round-Neck-T-Shirt-2794819.html?pos=7&cid=CA237MA80AJBINDFAS,Blue Printed Round Neck T-Shirt,3999,3000
7,/Reebok-Wor-Activchill-Tech-Black-Solid-Round-Neck-T-Shirt-300034986.html?pos=8&cid=RE105MA54FXYINDFAS,Wor Activchill Tech Black Solid Round Neck T-Shirt,1799,1799
8,/united-colors-of-benetton-White-Striped-Henley-T-Shirt-300028328.html?pos=9&cid=UN573MA12WEGINDFAS,White Striped Henley T-Shirt,2399,2399
9,/Levis-Cream-Striped-Polo-T-Shirt-2885498.html?pos=10&cid=LE082MA01EMSINDFAS,Cream Striped Polo T-Shirt,2199,2199
10,/tinted-Black-Solid-Round-Neck-T-Shirt-1530329.html?pos=11&cid=TI677MA70BUVINDFAS,Black Solid Round Neck T-Shirt,575,460
11,/next-Navy-Blue-Solid-Round-Neck-T-Shirt-300031089.html?pos=12&cid=NE988MA71SHRINDFAS,Navy Blue Solid Round Neck T-Shirt,890,890
12,/Nike-As-Znl-Cl-Relay-Dark-Grey-Running-Round-Neck-T-Shirt-2889248.html?pos=13&cid=NI091MA51KAYINDFAS,As Znl Cl Relay Dark Grey Running Round Neck T-Shirt,2295,2295
13,/united-colors-of-benetton-Pink-Solid-Henley-T-Shirt-300030535.html?pos=14&cid=UN573MA51CWNINDFAS,Pink Solid Henley T-Shirt,1499,1499
14,/united-colors-of-benetton-Green-Printed-Polo-T-Shirt-300030892.html?pos=15&cid=UN573MA76NVMINDFAS,Green Printed Polo T-Shirt,1899,1899
